20230421	17:49:03	3bc876a0-83e3-47c2-87f2-dc118e9ca2c3	GET	$undefined	/states/?contig=true
20230421	17:51:28	db587f7c-10b2-40d4-83e3-38efa0ed04ef	GET	$undefined	/states/?contig=false
20230421	17:51:57	819b95a0-76c0-4ff7-b0f9-76a4e8e1b6aa	GET	$undefined	/states/?contig=false
20230421	17:52:26	cba21a96-25ca-4d8c-9a0a-cea85ed0e655	GET	$undefined	/states/?contig=false
20230421	17:53:23	ba622dfe-62cd-45af-9574-485b8c8b7e88	GET	$undefined	/states/?contig=false
20230421	17:53:55	77c497f8-34f7-4a6b-9570-2ae55d48e62b	GET	$undefined	/states/?contig=false
20230421	17:54:29	9db312e9-4276-4f1d-b5b9-e9d0cea9a61a	GET	$undefined	/states/?contig=false
20230421	17:55:17	b461dcc1-c74d-4ad1-8913-7ea767a7eee4	GET	$undefined	/states/?contig=false
20230421	18:48:45	d3a81b88-b969-4974-b814-306219d66f21	GET	$undefined	/state/
20230421	18:51:46	0770dd4d-ab66-47e0-81df-ec04d37a3048	GET	$undefined	/state/AK/funfact
20230421	18:52:03	76eb53b4-fafd-4b11-80aa-0a04078e4cb2	GET	$undefined	/state/AK/funfact
20230421	18:52:53	bc5ddd95-41a8-448a-8dbb-a022d8e9c45e	GET	$undefined	/state/AK/funfact
20230421	18:53:03	a4e85611-d870-48e0-aaaa-5d08b0127490	POST	$undefined	/state/AK/funfact
20230421	18:54:12	cb533fce-5613-4236-b6f3-3295c20e0e1a	POST	$undefined	/state/AK/funfact
20230421	18:54:23	d630834a-a635-49c9-b432-08d3a3bb23f8	POST	$undefined	/states/AK/funfact
20230421	18:55:33	911b577e-0693-40f2-a7ad-dd8d950e601b	POST	$undefined	/states/AK/funfact
20230421	18:56:02	3c90a78b-6384-4734-bde4-5ec3328cce2a	POST	$undefined	/states/AK/funfact
20230421	18:58:46	99b3ce5a-1f1d-4a5f-aa4e-cd6f7e45d4c9	POST	$undefined	/states/AK/funfact
20230421	18:59:47	836fd33b-aecd-41ed-9f9e-d78258d85753	POST	$undefined	/states/AK/funfact
20230421	19:02:14	5a418bee-9e65-4b46-b27d-0428a1d3c781	POST	$undefined	/states/AK/funfact
20230421	19:03:25	48cb1ea6-af86-4e4d-9f0f-c4b66aafd191	POST	$undefined	/states/AK/funfact
20230421	19:04:02	3cc92f18-dba4-4147-8c65-ddf955daaca3	POST	$undefined	/states/KS/funfact
20230421	23:36:06	cf9d4ed4-1386-4b90-be27-5f5130810fbf	POST	$undefined	/states/KS/funfact
20230421	23:36:52	f73e0507-e3c3-4909-8d48-84870d68807a	POST	$undefined	/states/KS/funfact
20230421	23:42:48	075ccef8-bbfa-443d-831f-fa76baa49e03	POST	$undefined	/states/KS/funfact
20230421	23:43:11	0f75ee44-1414-42d3-9e2b-9063aa4e6fa6	POST	$undefined	/states/KS/funfact
20230421	23:44:42	35dda6b4-247a-41c0-ab86-f51573a2831f	POST	$undefined	/states/KS/funfact
20230421	23:45:07	d2a419b0-a5d4-435f-aa00-b468344e939b	POST	$undefined	/states/KS/funfact
20230421	23:46:33	84945a01-9a7d-43ea-80cd-06402464af0a	POST	$undefined	/states/KS/funfact
20230421	23:46:46	4776df0a-4528-4317-8c48-86f0b934bd0e	POST	$undefined	/states/KS/funfact
20230421	23:47:22	9ccad23d-d6f7-47d9-9b10-f84ab7681a3c	POST	$undefined	/states/KS/funfact
20230421	23:51:46	fab265b8-e808-481e-a48f-10c2b1c20302	POST	$undefined	/states/KS/funfact
